round,client_id,steps,mean_loss,token_weighted_mean_loss,min_loss,max_loss,final_loss,final_moving_avg_loss,perplexity,supervised_tokens,mean_step_time,train_time
1,0,300,0.7322854189078013,0.7322854189078013,0.49607908725738525,2.7853097915649414,0.7520551681518555,0.6958264976739883,2.079828459478698,2400,0.6288582586124539,188.8402362279594
1,1,300,0.7342927841345469,0.7342927841345469,0.5757521986961365,2.861363410949707,0.6620191931724548,0.692764475941658,2.084007627961261,2400,0.6350331743061542,190.69221336767077
1,2,300,0.734085916976134,0.734085916976134,0.49298515915870667,2.8241982460021973,0.6511936783790588,0.6934854924678803,2.0835765598136122,2400,0.634149437819918,190.42561543732882
1,3,300,0.7345960293213526,0.7345960293213526,0.5888073444366455,2.7967958450317383,0.6551634073257446,0.7019077032804489,2.0846396890736076,2400,0.6353227803483605,190.77456603571773
2,0,300,0.7019747211535772,0.7019747211535772,0.5365563631057739,1.095665693283081,0.6646854877471924,0.6970008164644241,2.0177332364638807,2400,0.6266861741617322,188.17804134264588
2,1,300,0.7008113410075506,0.7008113410075506,0.5235955715179443,0.8884679079055786,0.6851255297660828,0.7077909708023071,2.015387210601159,2400,0.634877224030594,190.63461182266474
2,2,300,0.6989786638816198,0.6989786638816198,0.5233205556869507,0.8755282163619995,0.718222975730896,0.7001126199960709,2.0116970390397526,2400,0.6345164193461339,190.52654645964503
2,3,300,0.7014394891262055,0.7014394891262055,0.561324954032898,0.8909800052642822,0.7337487936019897,0.6896621704101562,2.0166535699748493,2400,0.633564562809964,190.24375746026635
3,0,300,0.7016721465190252,0.7016721465190252,0.5240185260772705,0.9620680809020996,0.7457720041275024,0.6915882289409637,2.0171228139210804,2400,0.6303090965375304,189.27266911417246
3,1,300,0.6978155694405238,0.6978155694405238,0.539934515953064,0.8652435541152954,0.695975124835968,0.6810674607753754,2.0093586055695782,2400,0.6347731705754995,190.60489408671856
3,2,300,0.6979931817452113,0.6979931817452113,0.5694618225097656,0.9104659557342529,0.6576736569404602,0.7048939734697341,2.009715524078078,2400,0.6353175213312109,190.77714747563004
3,3,300,0.6994781666994094,0.6994781666994094,0.5860511064529419,1.118425726890564,0.7039493322372437,0.6909891307353974,2.012702138383371,2400,0.6368385266636809,191.23040071874857
