round,client_id,step,loss,loss_moving_avg,perplexity,supervised_tokens,loss_sum,global_grad_norm,learning_rate,step_time,supervised_tokens_per_second
1,0,0,2.7853097915649414,2.7853097915649414,16.204837221129594,8,22.28247833251953,3.5389896073093827,0.0002,0.7650253977626562,10.45716916509737
1,0,1,2.5775270462036133,2.6814184188842773,13.164542567053758,8,20.620216369628906,3.0922029278837133,0.0002,0.6201952435076237,12.899163745201571
1,0,2,2.070012092590332,2.477616310119629,7.924918950068334,8,16.560096740722656,3.6459110051049612,0.0002,0.6281325146555901,12.736166037172048
1,0,3,1.7496960163116455,2.295636236667633,5.75285363651247,8,13.997568130493164,4.016124801541345,0.0002,0.6141981538385153,13.025112416901463
1,0,4,1.5233187675476074,2.141172742843628,4.587424555361117,8,12.18655014038086,3.7259090281884495,0.0002,0.6018184442073107,13.293045563828233
1,0,5,1.1131433248519897,1.9698345065116882,3.0439113747813376,8,8.905146598815918,3.0224851771060397,0.0002,0.6033159028738737,13.260051594682464
1,0,6,1.0130802392959595,1.83315532548087,2.7540711614964395,8,8.104641914367676,2.2134323549559047,0.0002,0.605658233165741,13.20876950385774
1,0,7,0.7861547470092773,1.7022802531719208,2.1949400783762227,8,6.289237976074219,1.9756451534833823,0.0002,0.6117037441581488,13.078226308733685
1,0,8,0.7608687877655029,1.5976789792378743,2.140134735927287,8,6.086950302124023,1.2845081378046688,0.0002,0.6230741590261459,12.839563130821956
1,0,9,0.7247850894927979,1.5103895902633666,2.0642874152365196,8,5.798280715942383,1.2833514506454649,0.0002,0.6423899363726377,12.453495216897915
1,0,10,0.7795451879501343,1.4439491900530728,2.180480331214336,8,6.236361503601074,2.649896057936367,0.0002,0.6177773401141167,12.949649461927867
1,0,11,0.6506092548370361,1.3778375287850697,1.9167082371179192,8,5.204874038696289,2.275724431622539,0.0002,0.6209876835346222,12.882703171284351
1,0,12,0.671764612197876,1.323524227509132,1.957688836046949,8,5.374116897583008,1.629673820783362,0.0002,0.6258772891014814,12.782058303289638
1,0,13,0.6157100200653076,1.2729660698345728,1.8509703592006037,8,4.925680160522461,2.8748560266600798,0.0002,0.6239095777273178,12.822370878070464
1,0,14,0.8709977865219116,1.2461681842803956,2.3892936695761082,8,6.967982292175293,5.673670521646578,0.0002,0.6232148576527834,12.836664437254324
1,0,15,0.8936437964439392,1.224135410040617,2.4440189536224324,8,7.149150371551514,4.07381048873343,0.0002,0.6268831118941307,12.761549718300683
1,0,16,0.9149539470672607,1.2059482651598312,2.4966602707297776,8,7.319631576538086,4.130950110190391,0.0002,0.5999499037861824,13.334446675486324
