round,client_id,steps,mean_loss,token_weighted_mean_loss,min_loss,max_loss,final_loss,final_moving_avg_loss,perplexity,supervised_tokens,mean_step_time,train_time
1,0,300,0.7322844717899958,0.7322844717899958,0.49608004093170166,2.7853097915649414,0.7520464062690735,0.6958270877599716,2.0798264896370644,2400,0.6288021904105942,188.77061066962779
1,1,300,0.7342930062611898,0.7342930062611898,0.5757502317428589,2.861363410949707,0.6620190143585205,0.6927644491195679,2.08400809087493,2400,0.6339032282928626,190.30186656303704
1,2,300,0.7340813965598743,0.7340813965598743,0.4929833710193634,2.8241982460021973,0.6507313251495361,0.6934143275022506,2.083567141201541,2400,0.6354337948560714,190.76272968389094
1,3,300,0.7345956625541051,0.7345956625541051,0.5888084173202515,2.7967958450317383,0.6551699042320251,0.7019068896770477,2.084638924496187,2400,0.6343003392219544,190.4263165537268
2,0,300,0.7021391113599141,0.7021391113599141,0.5359069108963013,1.0872441530227661,0.662635326385498,0.6972143054008484,2.018064959312203,2400,0.6323197227343917,189.8297074176371
2,1,300,0.7005894126494726,0.7005894126494726,0.5206830501556396,0.8510075211524963,0.6756280660629272,0.708882600069046,2.014939988654071,2400,0.637179491041849,191.29008113965392
2,2,300,0.6988724333047867,0.6988724333047867,0.5277444124221802,0.8535593748092651,0.7201039791107178,0.698533621430397,2.0114833466534154,2400,0.6381846603068213,191.595909235999
2,3,300,0.7013480919599533,0.7013480919599533,0.5624082088470459,0.9059139490127563,0.7350072860717773,0.6897369176149368,2.0164692619759843,2400,0.6393476826138794,191.94575920887291
3,0,300,0.701808196703593,0.701808196703593,0.517883837223053,0.9561984539031982,0.7282742261886597,0.6914665430784226,2.017397262521178,2400,0.6335071750357747,190.1916916128248
3,1,300,0.6984426319599152,0.6984426319599152,0.5376585125923157,0.8748663067817688,0.6969648003578186,0.6848097056150436,2.0106189941690733,2400,0.6392821877387663,191.92695352062583
3,2,300,0.6979183695713679,0.6979183695713679,0.5577616095542908,0.9134987592697144,0.6507275700569153,0.7040991842746734,2.0095651785148245,2400,0.6369581233151257,191.22544813528657
3,3,300,0.6990142879883449,0.6990142879883449,0.5848472714424133,1.145263671875,0.711004376411438,0.6878350079059601,2.011768705226284,2400,0.6346909668544928,190.5437853205949
