round,client_id,step,loss,loss_moving_avg,perplexity,supervised_tokens,loss_sum,global_grad_norm,learning_rate,step_time,supervised_tokens_per_second
1,0,0,2.7853097915649414,2.7853097915649414,16.204837221129594,8,22.28247833251953,3.5389896073093827,0.0002,0.7803370542824268,10.25198016177323
1,0,1,2.5775270462036133,2.6814184188842773,13.164542567053758,8,20.620216369628906,3.092203005384948,0.0002,0.6226740963757038,12.847812437620703
1,0,2,2.0700089931488037,2.4776152769724527,7.924894387283497,8,16.56007194519043,3.6459107756482148,0.0002,0.6341348942369223,12.615612344794073
1,0,3,1.7496988773345947,2.2956361770629883,5.752870095582293,8,13.997591018676758,4.016131214441462,0.0002,0.6289562918245792,12.719484809973507
1,0,4,1.523309588432312,2.141170859336853,4.5873824470554725,8,12.186476707458496,3.7258912087978096,0.0002,0.6190338935703039,12.923363458920909
1,0,5,1.1131426095962524,1.9698328177134197,3.0439091976070416,8,8.90514087677002,3.0224731358124957,0.0002,0.6013779882341623,13.302781539262108
1,0,6,1.0130785703659058,1.8331536395209176,2.7540665651481437,8,8.104628562927246,2.2134190778016034,0.0002,0.603190103545785,13.262817067078691
1,0,7,0.7861495018005371,1.70227812230587,2.194928565487533,8,6.289196014404297,1.9756426177984725,0.0002,0.6200874391943216,12.901406308752817
1,0,8,0.7608678936958313,1.5976769857936435,2.1401328224985816,8,6.08694314956665,1.2845082811205517,0.0002,0.625129422172904,12.79734998265253
1,0,9,0.7247788906097412,1.5103871762752532,2.0642746189998986,8,5.79823112487793,1.2833450000982558,0.0002,0.6277459040284157,12.744009875113212
1,0,10,0.7795429229736328,1.4439467896114697,2.180475392483217,8,6.2363433837890625,2.6498765714575003,0.0002,0.6243038941174746,12.814272144351945
1,0,11,0.6506093740463257,1.3778353383143742,1.9167084656073599,8,5.2048749923706055,2.275722531206553,0.0002,0.6199789699167013,12.903663492125963
1,0,12,0.67176353931427,1.323522123006674,1.957686735675818,8,5.37410831451416,1.6296683866374828,0.0002,0.6118695139884949,13.074683109886768
